Identificador da Fonte;art_1.1;art_4;art_5;art_8;art_25
Santos_Nascimento_Ferreira_Gomes_2024;1;1;1;1;1
Tavares_Pereira_2023;0;1;1;1;1
Barbosa_de_Souza_2021;1;0;1;1;1
Comunidades_Quilombolas_Alcantara_2024;1;1;1;1;1
Da_Silva_2024;1;0;1;1;1
Empregados_Fabrica_Fogos_2020;1;1;1;1;1
Escher_2009;0;0;0;1;1
Favela_Nova_Brasilia_2017;1;0;1;1;1
Garibaldi_2009;0;0;0;1;1
Gomes_Lund_2010;0;1;1;1;1
Herzog_e_outros_2018;1;0;1;1;1
Honorato_2023;1;1;1;1;1
Leite_de_Souza_2024;0;1;1;1;1
Muniz_da_Silva_2024;0;1;1;1;1
Xucuru_2018;0;0;0;1;1
Sales_Pimenta_2022;1;0;1;1;1
Trabalhadores_Fazenda_Brasil_Verde_2016;1;0;1;1;1
Ximenes_Lopes_2006;1;1;1;1;1